Timestamp,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4
1617987910.6666, 4169.744, 4167.179, 4169.744, 4172.821, 4170.256, 4172.308, 4167.179, 4168.205, 4174.359, 4184.615, 4228.205, 4929.744, 4172.308, 4176.923
1617987911.4868, 4170.256, 4169.231, 4172.308, 4171.282, 4175.897, 4173.333, 4170.769, 4173.846, 4176.41, 4182.564, 4225.128, 4926.154, 4175.897, 4181.538
1617987912.4694, 4170.256, 4165.641, 4167.692, 4167.692, 4170.256, 4169.744, 4165.128, 4171.282, 4172.308, 4184.103, 4231.795, 4931.795, 4168.205, 4176.923
1617987913.479, 4168.205, 4166.667, 4167.692, 4175.897, 4172.308, 4167.179, 4168.718, 4172.308, 4171.795, 4183.59, 4225.128, 4925.641, 4168.205, 4173.333
